,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
1460,MICOS10,-66.714676,-13.445477,0.0,0.0,13.445477
1469,GP1BB,-66.77673,-12.924905,0.0,0.0,12.924905
1430,TOMM6,-66.451164,-12.418698,0.0,0.0,12.418698
1461,ATP6V0C,-66.71591,-11.342111,0.0,0.0,11.342111
1475,NME2,-66.835686,-11.337078,0.0,0.0,11.337078
1482,EEF1G,-66.91157,-11.143632,0.0,0.0,11.143632
1459,MRPS24,-66.71353,-11.140501,0.0,0.0,11.140501
1484,HSPB2,-66.916985,-9.467801,0.0,0.0,9.467801
0,CADM2,67.12031,9.155209,0.0,0.0,9.155209
1481,CRIP1,-66.91147,-9.129447,0.0,0.0,9.129447
1499,TNNI1,-67.07899,-9.018534,0.0,0.0,9.018534
11,SGCD,67.020805,8.969755,0.0,0.0,8.969755
1466,RPL17,-66.74367,-8.907006,0.0,0.0,8.907006
1454,DEPDC1,-66.658585,-8.503146,0.0,0.0,8.503146
34,RGS6,66.86513,8.466432,0.0,0.0,8.466432
1496,CAPN3,-66.99595,-8.423565,0.0,0.0,8.423565
1487,VCAM1,-66.94401,-8.413795,0.0,0.0,8.413795
1447,RNASEK,-66.59414,-8.379272,0.0,0.0,8.379272
1490,TMEM88,-66.96184,-8.334836,0.0,0.0,8.334836
1063,NDUFA4L2,-60.122086,-8.156372,0.0,0.0,8.156372
1446,PSMA6,-66.58869,-8.100366,0.0,0.0,8.100366
66,CACNA1E,66.40422,8.081414,0.0,0.0,8.081414
1472,KRT19,-66.78867,-7.947429,0.0,0.0,7.947429
18,RASGEF1B,66.98653,7.7863507,0.0,0.0,7.7863507
4,CPNE8,67.062904,7.7621145,0.0,0.0,7.7621145
1161,MKI67,-63.910084,-7.743349,0.0,0.0,7.743349
1486,COL2A1,-66.92354,-7.733659,0.0,0.0,7.733659
14,PDE3A,66.998634,7.7193136,0.0,0.0,7.7193136
1471,KCTD12,-66.783066,-7.6893754,0.0,0.0,7.6893754
1492,TBX2-AS1,-66.97346,-7.6431885,0.0,0.0,7.6431885
