,GeneID,logfc_Native_CM_Ventricular,logfc_Native_CM_Atrial,logfc_Immature_CM,description
5,XIRP2,8.102087,5.8197083,-2.7698047,xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]
14,RSPO3,-6.83648,-3.3246946,1.8675162,R-spondin 3 [Source:HGNC Symbol;Acc:HGNC:20866]
16,FGF12,6.7481894,6.777963,-2.2017033,fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]
17,LIX1,-6.665036,-5.922209,1.9620322,limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]
19,VIM,-6.552272,-4.738718,2.237187,vimentin [Source:HGNC Symbol;Acc:HGNC:12692]
20,NCCRP1,-6.5155525,-5.6532025,2.2828424,"NCCRP1, F-box associated domain containing [Source:HGNC Symbol;Acc:HGNC:33739]"
21,HOXB3,-6.495088,-4.8839326,1.6500069,homeobox B3 [Source:HGNC Symbol;Acc:HGNC:5114]
22,TMEM88,-6.441574,-8.334836,2.8408194,transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]
23,PTN,-6.40023,-2.7302375,2.2256145,pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]
24,CCDC80,-6.3959737,-6.176536,2.5068657,coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]
25,NRP2,-6.345899,-5.494755,2.032711,neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
26,KRT18,-6.3232474,-7.606675,2.0271592,keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]
28,IFITM2,-6.240505,-5.7832465,2.0277505,interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]
29,TIMP1,-6.238672,-5.091603,1.5103116,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]
30,CENPF,-6.206443,-7.5316625,2.0996015,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]
