,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
1487,HSPB2,-125.60691,-9.302738,0.0,0.0,9.302738
6,SGCD,125.52357,8.959251,0.0,0.0,8.959251
1485,CRIP1,-125.57994,-8.498853,0.0,0.0,8.498853
1499,TNNI1,-125.854416,-8.490419,0.0,0.0,8.490419
1479,GP1BB,-125.494576,-8.400874,0.0,0.0,8.400874
1488,CAPN3,-125.62359,-8.385774,0.0,0.0,8.385774
1495,VCAM1,-125.72687,-8.342729,0.0,0.0,8.342729
1494,TBX2-AS1,-125.69634,-8.277563,0.0,0.0,8.277563
1486,ACTA2,-125.59096,-8.238376,0.0,0.0,8.238376
23,XIRP2,125.18094,8.102087,0.0,0.0,8.102087
1493,COL2A1,-125.67624,-8.074668,0.0,0.0,8.074668
5,PDE3A,125.5545,7.944288,0.0,0.0,7.944288
1458,MICOS10,-125.35919,-7.7451797,0.0,0.0,7.7451797
1437,BMP2,-125.25768,-7.7048254,0.0,0.0,7.7048254
1457,ALDOC,-125.357765,-7.6840243,0.0,0.0,7.6840243
1491,AHNAK2,-125.65198,-7.680534,0.0,0.0,7.680534
1470,KCTD12,-125.43872,-7.6440916,0.0,0.0,7.6440916
1478,TBX2,-125.49046,-7.6066337,0.0,0.0,7.6066337
1483,S100A4,-125.57296,-7.5743,0.0,0.0,7.5743
1497,MYL4,-125.79222,-7.559159,0.0,0.0,7.559159
32,CACNA1E,124.872246,7.444509,0.0,0.0,7.444509
1427,CXCL12,-125.17624,-7.425561,0.0,0.0,7.425561
1475,MT-ND5,-125.471535,-7.408003,0.0,0.0,7.408003
1370,GDF10,-124.999344,-7.3746314,0.0,0.0,7.3746314
1454,VCAN,-125.310936,-7.353064,0.0,0.0,7.353064
1210,TAGLN,-124.64096,-7.345168,0.0,0.0,7.345168
1,FYB2,125.70078,7.3262444,0.0,0.0,7.3262444
1490,BMP5,-125.64251,-7.2963133,0.0,0.0,7.2963133
