,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
0,FBLN1,141.57643,3.480451,0.0,0.0,3.480451
1,PTGIS,141.24988,3.9637926,0.0,0.0,3.9637926
2,SERPINB9,140.09888,3.4205117,0.0,0.0,3.4205117
3,AMIGO2,139.84149,3.5785627,0.0,0.0,3.5785627
4,MYO10,139.60661,2.9740736,0.0,0.0,2.9740736
5,TLE4,138.79135,2.2114985,0.0,0.0,2.2114985
6,EPB41L2,138.69621,2.9540915,0.0,0.0,2.9540915
7,COL6A2,138.09593,2.5795848,0.0,0.0,2.5795848
8,COL9A3,137.25116,3.1928344,0.0,0.0,3.1928344
9,APBB2,136.71516,2.002449,0.0,0.0,2.002449
10,MME,136.56812,3.9691675,0.0,0.0,3.9691675
11,BOC,136.36137,3.3577948,0.0,0.0,3.3577948
12,TFPI,136.30902,3.45314,0.0,0.0,3.45314
13,IFITM3,136.23232,2.2640152,0.0,0.0,2.2640152
14,PLTP,136.20453,2.250627,0.0,0.0,2.250627
15,ZEB2,135.86198,2.0279374,0.0,0.0,2.0279374
16,RAB37,135.82741,3.873029,0.0,0.0,3.873029
17,COL6A1,135.77068,2.2304432,0.0,0.0,2.2304432
18,PELI2,135.61388,2.7296326,0.0,0.0,2.7296326
19,PLCE1,135.56511,2.6230953,0.0,0.0,2.6230953
20,GNG2,135.42993,3.6222765,0.0,0.0,3.6222765
21,ATP2B1,135.30946,2.0297742,0.0,0.0,2.0297742
22,PRPF18,135.29938,1.5411738,0.0,0.0,1.5411738
23,HLX,135.26042,3.9925008,0.0,0.0,3.9925008
24,ITGA8,135.18884,4.415887,0.0,0.0,4.415887
25,PCDH10,135.18597,3.6962762,0.0,0.0,3.6962762
26,G6PD,134.73685,1.7155218,0.0,0.0,1.7155218
27,BMP4,134.71957,3.22554,0.0,0.0,3.22554
28,LIMA1,134.62137,2.5237153,0.0,0.0,2.5237153
29,UBASH3B,134.5876,3.1120884,0.0,0.0,3.1120884
30,SNAI2,134.52371,3.3109856,0.0,0.0,3.3109856
31,IL11,134.4906,3.8269305,0.0,0.0,3.8269305
32,THY1,134.46747,3.2671647,0.0,0.0,3.2671647
33,FXYD5,134.25002,2.8224456,0.0,0.0,2.8224456
34,FAM107B,134.22194,2.4208229,0.0,0.0,2.4208229
35,HAPLN1,134.08809,4.1905866,0.0,0.0,4.1905866
36,SERPINE2,133.97832,3.6927598,0.0,0.0,3.6927598
37,MXRA8,133.79997,2.6819143,0.0,0.0,2.6819143
38,ADAM12,133.76956,4.173456,0.0,0.0,4.173456
39,CHD3,133.53316,1.7560111,0.0,0.0,1.7560111
40,NET1,133.52292,1.759501,0.0,0.0,1.759501
